2025-11-16T14:59:01.000000000Z [inf]  Starting Container
2025-11-16T15:38:35.095206791Z [inf]  📱 Analyzing Mobile Standard (375x667)
2025-11-16T15:38:35.095214779Z [inf]  ✅ Viewport analysis complete. Overall score: 100/100
2025-11-16T15:38:35.095221157Z [inf]  ✅ Viewport analysis complete. Score: 100/100
2025-11-16T15:38:35.095228862Z [inf]  🔒 Checking HSTS support...
2025-11-16T15:38:35.095235696Z [inf]  🔒 Checking HSTS support for henryadams.co.uk...
2025-11-16T15:38:35.095242628Z [inf]  Main domain HSTS: ✅ Enabled
2025-11-16T15:38:35.095249585Z [inf]    → Includes subdomains: ✅ Yes
2025-11-16T15:38:35.095255862Z [inf]  Found 0 subdomain(s) to check
2025-11-16T15:38:35.095262044Z [inf]  ✅ All subdomains protected by main domain's includeSubdomains directive
2025-11-16T15:38:35.095268709Z [inf]  🤖 Checking for llms.txt...
2025-11-16T15:38:35.095275041Z [inf]  🤖 Checking for llms.txt at https://henryadams.co.uk/llms.txt...
2025-11-16T15:38:35.209266199Z [inf]  ❌ llms.txt not found (404)
2025-11-16T15:38:35.209272743Z [inf]  ⚠️  llms.txt not found - consider adding one for better LLM understanding
2025-11-16T15:38:35.209283891Z [inf]  ✅ Technical audit complete for https://henryadams.co.uk
2025-11-16T15:38:35.209289360Z [inf]     - Large images found: 0
2025-11-16T15:38:35.209296297Z [inf]     - 404 errors found: 0
2025-11-16T15:38:35.209584026Z [inf]  📊 Discovered 1 total pages during technical audit
2025-11-16T15:38:35.209589181Z [inf]  🔍 Running technology stack detection...
2025-11-16T15:38:35.209594446Z [inf]  🔍 Analyzing tech stack for: https://henryadams.co.uk
2025-11-16T15:38:35.209599837Z [inf]  
2025-11-16T15:38:35.209604879Z [inf]  🔎 Starting DNS-based hosting detection for https://henryadams.co.uk
2025-11-16T15:38:35.209609462Z [inf]     Cleaned domain: henryadams.co.uk
2025-11-16T15:38:35.209614098Z [inf]  🔍 DNS Layer 1: Checking nameservers for henryadams.co.uk...
2025-11-16T15:38:35.219297814Z [inf]     Found nameservers: ns1072.ui-dns.biz, ns1072.ui-dns.org, ns1072.ui-dns.com, ns1072.ui-dns.de
2025-11-16T15:38:35.219301955Z [inf]     ⚠️ No nameserver patterns matched
2025-11-16T15:38:35.219306599Z [inf]  🔍 DNS Layer 2: Resolving IP address for henryadams.co.uk...
2025-11-16T15:38:35.219310435Z [inf]     Found IP: 164.177.133.16
2025-11-16T15:38:35.219317325Z [inf]     🌐 Querying IPinfo.io for IP 164.177.133.16...
2025-11-16T15:38:35.302798431Z [inf]     API Response: {
2025-11-16T15:38:35.302809123Z [inf]    "ip": "164.177.133.16",
2025-11-16T15:38:35.302817558Z [inf]    "hostname": "1063983-db2.rockitdesign.co.uk",
2025-11-16T15:38:35.302823706Z [inf]    "city": "London",
2025-11-16T15:38:35.302829464Z [inf]    "region": "England",
2025-11-16T15:38:35.302836954Z [inf]    "country": "GB",
2025-11-16T15:38:35.302844694Z [inf]    "loc": "51.5085,-0.1257",
2025-11-16T15:38:35.302850937Z [inf]    "org": "AS15395 Rackspace Ltd.",
2025-11-16T15:38:35.302857056Z [inf]    "postal": "E1W",
2025-11-16T15:38:35.302861769Z [inf]    "timezone": "Europe/London"
2025-11-16T15:38:35.302868399Z [inf]  }
2025-11-16T15:38:35.302872951Z [inf]     📌 Using organization name: Rackspace Ltd.
2025-11-16T15:38:35.302879055Z [inf]  ✅ Hosting detected via IP/ASN: Rackspace Ltd.
2025-11-16T15:38:35.302884228Z [inf]  
2025-11-16T15:38:37.358180250Z [inf]  ⚠️  CMS set to Magento via file path detection. Matched patterns: mage/
2025-11-16T15:38:37.367072877Z [inf]  🔄 Running Magento extension detection...
2025-11-16T15:38:37.367086466Z [inf]  🔍 Analyzing Magento extensions...
2025-11-16T15:38:37.367097038Z [inf]  📊 Magento extension analysis complete: 2 extensions detected
2025-11-16T15:38:37.367104523Z [inf]  ✅ Magento extension detection complete: 2 extensions detected
2025-11-16T15:38:37.367111035Z [inf]  ✅ Used Direct Website Analysis + DNS-based Hosting Detection
2025-11-16T15:38:37.367118590Z [inf]  📊 CMS DETECTION RESULT: "Magento" (from analyzeHTMLAndHeaders)
2025-11-16T15:38:37.367124588Z [inf]  🔍 Applied DNS hosting detection: Rackspace Ltd. (ip-asn, medium confidence)
2025-11-16T15:38:37.367129890Z [inf]  ✅ Technology stack detection completed
2025-11-16T15:38:37.462527995Z [inf]  ✅ HTML content fetched for Claude analysis
2025-11-16T15:38:37.462555800Z [inf]  ⏭️  Skipping WordPress plugin detection - CMS is Magento
2025-11-16T15:38:37.462564561Z [inf]  🚀 Running enhanced PageSpeed analysis with Claude...
2025-11-16T15:38:37.462573711Z [inf]  🚀 Starting enhanced PageSpeed analysis with Claude for https://henryadams.co.uk
2025-11-16T15:38:37.462580391Z [inf]  🔍 Analyzing real PageSpeed data for: https://henryadams.co.uk
2025-11-16T15:38:37.462587079Z [inf]  ⚠️ No API key found, using free tier limits
2025-11-16T15:38:37.462592874Z [inf]  ⚠️ No API key found, using free tier limits
2025-11-16T15:38:37.526688507Z [err]  PageSpeed API Error Details: {
2025-11-16T15:38:37.526694861Z [err]    status: 429,
2025-11-16T15:38:37.526699289Z [err]    statusText: 'Too Many Requests',
2025-11-16T15:38:37.526703570Z [err]    url: 'https://www.googleapis.com/pagespeedonline/v5/runPagespeed?url=https%3A%2F%2Fhenryadams.co.uk&strategy=mobile&category=performance',
2025-11-16T15:38:37.526707647Z [err]    response: '{\n' +
2025-11-16T15:38:37.526712019Z [err]      '  "error": {\n' +
2025-11-16T15:38:37.526716133Z [err]      '    "code": 429,\n' +
2025-11-16T15:38:37.526720297Z [err]      `    "message": "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'pagespeedonline.googleapis.com' for consumer 'project_number:583797351490'.",\n` +
2025-11-16T15:38:37.526723894Z [err]      '    "errors": [\n' +
2025-11-16T15:38:37.526728525Z [err]      '      {\n' +
2025-11-16T15:38:37.526732449Z [err]      `        "message": "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'pagespeedonline.googleapis.com' for consumer 'project_number:583797351490'.",\n` +
2025-11-16T15:38:37.526737804Z [err]      '        "domain": "global",\n' +
2025-11-16T15:38:37.526741648Z [err]      '        "reason": "rateLimitExceeded"\n' +
2025-11-16T15:38:37.526745655Z [err]      '      }\n' +
2025-11-16T15:38:37.526749522Z [err]      '    ],\n' +
2025-11-16T15:38:37.526753786Z [err]      '    "st'
2025-11-16T15:38:37.526757927Z [err]  }
2025-11-16T15:38:37.526762370Z [err]  PageSpeed Insights API error: Error: PageSpeed API error: 429 - Too Many Requests
2025-11-16T15:38:37.526766722Z [err]      at n.runPageSpeedAnalysis (.next/server/chunks/5955.js:242:4349)
2025-11-16T15:38:37.526772512Z [err]      at async n.analyzePerformance (.next/server/chunks/5955.js:242:2987)
2025-11-16T15:38:37.526776809Z [err]      at async o (.next/server/chunks/5955.js:242:7336)
2025-11-16T15:38:37.530395037Z [err]      at async Timeout._onTimeout (.next/server/app/api/audit/route.js:73:8281)
2025-11-16T15:38:37.530414078Z [inf]  📄 Falling back to web scraping PageSpeed Insights
2025-11-16T15:38:37.530427255Z [inf]  🧠 Running Claude AI analyses...
2025-11-16T15:38:37.530438321Z [inf]  🧠 Analyzing performance with Claude for https://henryadams.co.uk
2025-11-16T15:38:37.530445735Z [inf]  🔍 Analyzing Technical SEO with Claude for https://henryadams.co.uk
2025-11-16T15:38:37.530453257Z [inf]  🖼️ Analyzing image optimization with Claude for https://henryadams.co.uk
2025-11-16T15:38:37.543393885Z [err]  PageSpeed API Error Details: {
2025-11-16T15:38:37.543407729Z [err]    status: 429,
2025-11-16T15:38:37.543414049Z [err]    statusText: 'Too Many Requests',
2025-11-16T15:38:37.543420504Z [err]    url: 'https://www.googleapis.com/pagespeedonline/v5/runPagespeed?url=https%3A%2F%2Fhenryadams.co.uk&strategy=desktop&category=performance',
2025-11-16T15:38:37.543427917Z [err]    response: '{\n' +
2025-11-16T15:38:37.543436779Z [err]      '  "error": {\n' +
2025-11-16T15:38:37.543443943Z [err]      '    "code": 429,\n' +
2025-11-16T15:38:37.543449957Z [err]      `    "message": "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'pagespeedonline.googleapis.com' for consumer 'project_number:583797351490'.",\n` +
2025-11-16T15:38:37.543456519Z [err]      '    "errors": [\n' +
2025-11-16T15:38:37.543489483Z [err]      '      {\n' +
2025-11-16T15:38:37.543499437Z [err]      `        "message": "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'pagespeedonline.googleapis.com' for consumer 'project_number:583797351490'.",\n` +
2025-11-16T15:38:37.543505381Z [err]      '        "domain": "global",\n' +
2025-11-16T15:38:37.543511968Z [err]      '        "reason": "rateLimitExceeded"\n' +
2025-11-16T15:38:37.543518477Z [err]      '      }\n' +
2025-11-16T15:38:37.543524979Z [err]      '    ],\n' +
2025-11-16T15:38:37.543530513Z [err]      '    "st'
2025-11-16T15:38:37.543536954Z [err]  }
2025-11-16T15:38:57.681308143Z [inf]  ✅ Claude performance analysis complete for https://henryadams.co.uk
2025-11-16T15:38:57.681319924Z [inf]  📄 Raw response length: 9036 chars
2025-11-16T15:38:57.681328037Z [inf]  📄 First 500 chars: Here is the comprehensive image optimization analysis for the website https://henryadams.co.uk:
2025-11-16T15:38:57.681337168Z [inf]  
2025-11-16T15:38:57.681344572Z [inf]  {
2025-11-16T15:38:57.681352328Z [inf]    "overallScore": 70,
2025-11-16T15:38:57.681359047Z [inf]    "optimizationPotential": "medium",
2025-11-16T15:38:57.681368692Z [inf]    "estimatedSavings": {
2025-11-16T15:38:57.681374120Z [inf]      "totalSizeReduction": "470 KB",
2025-11-16T15:38:57.681380277Z [inf]      "loadTimeImprovement": "0.5 seconds",
2025-11-16T15:38:57.681385745Z [inf]      "bandwidthSavings": "15% reduction"
2025-11-16T15:38:57.681390154Z [inf]    },
2025-11-16T15:38:57.681394448Z [inf]    "imageAnalysis": {
2025-11-16T15:38:57.681398819Z [inf]      "totalImages": 116,
2025-11-16T15:38:57.681404637Z [inf]      "largeImages": 0,
2025-11-16T15:38:57.681409333Z [inf]      "averageSize": 16 KB,
2025-11-16T15:38:57.681413859Z [inf]      "formatDistribution": {
2025-11-16T15:38:57.681419216Z [inf]        "jpg": 60,
2025-11-16T15:38:57.681424020Z [inf]        "png": 30,
2025-11-16T15:38:57.681428722Z [inf]        "gif": 5,
2025-11-16T15:38:57.681433847Z [inf]        "svg": 5
2025-11-16T15:38:57.681438855Z [inf]      },
2025-11-16T15:38:57.681443637Z [inf]    
2025-11-16T15:38:57.681448082Z [inf]  📄 Last 200 chars: sing these recommendations, the website can significantly enhance its image optimization, leading to faster load times, reduced bandwidth usage, and an overall better user experience for its audience.
2025-11-16T15:38:57.681452950Z [err]  Failed to parse Claude image optimization response: SyntaxError: Unexpected token K in JSON at position 286
2025-11-16T15:38:57.681707783Z [err]      at JSON.parse (<anonymous>)
2025-11-16T15:38:57.681718126Z [err]      at l (.next/server/chunks/5955.js:242:580)
2025-11-16T15:38:57.681735276Z [err]      at async o (.next/server/chunks/5955.js:242:7425)
2025-11-16T15:38:57.681742420Z [err]      at async Timeout._onTimeout (.next/server/app/api/audit/route.js:73:8281)
2025-11-16T15:38:57.681748641Z [inf]  ✅ Claude Technical SEO analysis complete for https://henryadams.co.uk
2025-11-16T15:38:57.681762531Z [inf]  ✅ Claude AI analyses complete for https://henryadams.co.uk
2025-11-16T15:38:57.681768598Z [inf]  ✅ Preserved CMS (Magento) and 0 plugins in performance results
2025-11-16T15:38:57.681774587Z [inf]  ✅ Preserved technical issues in results: {"missingMetaTitles":0,"missingMetaDescriptions":0,"missingH1Tags":0,"httpErrors":0,"shortTitles":0,"longTitles":0,"invalidStructuredData":0,"lowTextHtmlRatio":1,"unminifiedFiles":12,"missingLlmsTxt":1}
2025-11-16T15:38:57.681780244Z [inf]  🧠 Running Claude technology intelligence analysis...
2025-11-16T15:38:57.681786463Z [inf]  🧠 Analyzing technology stack with Claude for https://henryadams.co.uk
2025-11-16T15:39:05.256945588Z [inf]  ✅ Claude technology analysis complete for https://henryadams.co.uk
2025-11-16T15:39:05.256953535Z [inf]  ✅ Claude technology analysis completed
2025-11-16T15:39:05.256961449Z [inf]  🎯 Running universal performance & conversion analysis...
2025-11-16T15:39:05.392853003Z [inf]  ✅ Universal performance analysis completed: Conversion Score 51/100, 8 issues found
2025-11-16T15:39:05.392882929Z [inf]  📱 Viewport analysis skipped (disabled for memory optimization)
2025-11-16T15:39:05.536159238Z [inf]  💾 [After performance] Memory: 88MB used / 95MB total
2025-11-16T15:39:05.536170908Z [inf]  ✅ Completed section 1/1: performance
2025-11-16T15:39:05.536180045Z [inf]  💾 [All Sections Complete] Memory: 88MB used / 95MB total
2025-11-16T15:39:05.539455974Z [inf]  📊 Usage metrics: 0.95 browser minutes
